Job Title,Skills
['Academic Advisor'],"['Academic Advising', 'Higher Education', 'Student Development', 'Student Engagement', 'Teaching', 'Student Affairs', 'Career Counseling', 'Student Counseling', 'Higher Education Administration', 'Campus']"
['Academic Tutor'],"['Tutoring', 'Teaching', 'Peer Tutoring', 'Mathematics', 'Online Tutoring', 'Research', 'Python (Programming Language)', 'Communication', 'Leadership', 'Writing']"
['Account Coordinator'],"['Account Management', 'Account Coordination', 'Public Relations', 'Digital Marketing', 'Customer Relationship Management (CRM)', 'Client Relations', 'Data Entry', 'Copywriting', 'Marketing', 'Communication']"
['Account Director'],"['Account Management', 'Client Services', 'Client Relations', 'Marketing Strategy', 'Strategy', 'Business Development', 'Strategic Partnerships', 'Brand Awareness', 'Digital Marketing', 'Strategic Planning']"
['Account Executive'],"['Software as a Service (SaaS)', 'Account Management', 'Business-to-Business (B2B)', 'Sales', 'Cold Calling', 'Salesforce.com', 'Direct Sales', 'Sales Management', 'Customer Relationship Management (CRM)', 'Business Development']"
['Account Manager'],"['Account Management', 'Business Development', 'Client Relations', 'Sales', 'Customer Relationship Management (CRM)', 'Bitcoin Mining', 'Cryptocurrency Trading', 'Business-to-Business (B2B)', 'Foreign Exchange (FX) Trading', 'Sales Management']"
['Account Representative'],"['Account Management', 'Property and Casualty Insurance', 'Cold Calling', 'Sales', 'Business-to-Business (B2B)', 'Salesforce.com', 'Insurance', 'Customer Relationship Management (CRM)', 'Sales Effectiveness', 'Life Insurance']"
['Account Specialist'],"['Capital Equipment', 'Medical Devices', 'Account Management', 'Healthcare', 'Sales', 'Sales Management', 'Strategic Planning', 'Marketing', 'Accounting', 'Customer Service']"
['Accountant'],"['Accounting', 'Generally Accepted Accounting Principles (GAAP)', 'QuickBooks', 'Account Reconciliation', 'Financial Accounting', 'Bank Reconciliation', 'Accounts Payable', 'U.S. Generally Accepted Accounting Principles (GAAP)', 'Accounts Receivable (AR)', 'Financial Reporting']"
['Accounting Assistant'],"['QuickBooks', 'Accounting', 'Accounts Payable', 'Bookkeeping', 'Accounts Receivable (AR)', 'Account Reconciliation', 'Microsoft Excel', 'Data Entry', 'Bank Reconciliation', 'Accounts Payable and Receivable']"
['Accounting Clerk'],"['Accounting', 'QuickBooks', 'Accounts Payable', 'Accounts Receivable (AR)', 'Account Reconciliation', 'Bookkeeping', 'Data Entry', 'Bank Reconciliation', 'Accounts Payable and Receivable', 'Invoicing']"
['Accounting Manager'],"['Accounting', 'QuickBooks', 'Account Reconciliation', 'Generally Accepted Accounting Principles (GAAP)', 'Financial Reporting', 'Financial Accounting', 'Financial Statements', 'Bank Reconciliation', 'Accounts Payable', 'Accounts Receivable (AR)']"
['Accounting Specialist'],"['Accounting', 'QuickBooks', 'Accounts Payable', 'Account Reconciliation', 'Accounts Receivable (AR)', 'Microsoft Excel', 'Financial Accounting', 'Bookkeeping', 'Bank Reconciliation', 'Accounts Payable and Receivable']"
['Accounts Payable Specialist'],"['Accounts Payable', 'Account Reconciliation', 'Accounting', 'Accounts Payable and Receivable', 'Invoicing', 'Purchase Orders', 'Accounts Receivable (AR)', 'QuickBooks', 'Bank Reconciliation', 'Invoice Processing']"
['Accounts Receivable Specialist'],"['A/R Collections', 'Accounts Receivable (AR)', 'Account Reconciliation', 'Invoicing', 'Accounting', 'QuickBooks', 'Accounts Payable', 'Accounts Payable and Receivable', 'Cash Collection', 'Data Entry']"
['Actor'],"['Acting', 'Theatre', 'Voice Acting', 'Film Actor', 'Improvisation', 'Performing Arts', 'Dance', 'Singing', 'Theatrical Production', 'Film Production']"
['Administrative Assistant'],"['Administrative Assistance', 'Office Administration', 'Data Entry', 'Scheduling', 'Administration', 'QuickBooks', 'Executive Administrative Assistance', 'Organization Skills', 'Customer Service', 'Microsoft Outlook']"
['Administrative Associate'],"['Administrative Assistance', 'Office Administration', 'Data Entry', 'Administration', 'Expense Reports', 'Microsoft Outlook', 'Executive Administrative Assistance', 'Event Planning', 'Microsoft Excel', 'Organization Skills']"
['Administrative Coordinator'],"['Office Administration', 'Administrative Assistance', 'Administration', 'Data Entry', 'Scheduling', 'Microsoft Outlook', 'Event Planning', 'Spreadsheets', 'Organization Skills', 'Time Management']"
['Administrative Manager'],"['Office Administration', 'Administration', 'Administrative Assistance', 'Supervisory Skills', 'QuickBooks', 'Management', 'Accounting', 'Operations Management', 'Customer Relationship Management (CRM)', 'Leadership']"
['Administrative Specialist'],"['Administrative Assistance', 'Office Administration', 'Data Entry', 'Administration', 'Microsoft Outlook', 'Microsoft Excel', 'Time Management', 'Microsoft Office', 'Customer Service', 'Organization Skills']"
['Admissions Counselor'],"['Recruiting', 'Higher Education', 'Admissions Counseling', 'Admissions', 'Slate', 'Event Planning', 'College Recruiting', 'Public Speaking', 'Higher Education Recruitment', 'Student Recruiting']"
['Aircraft Mechanic'],"['Aircraft Maintenance', 'Aviation', 'Airframe', 'Aircraft Systems', 'A&P', 'Military Aviation', 'PowerPlant', 'Maintenance & Repair', 'Mechanics', 'Aircraft Structures']"
['Analytics Consultant'],"['Tableau', 'Data Visualization', 'Data Analytics', 'SQL', 'Microsoft Power BI', 'Data Science', 'Machine Learning', 'Python (Programming Language)', 'Analytics', 'R (Programming Language)']"
['Analytics Manager'],"['SQL', 'Data Analytics', 'Tableau', 'Data Visualization', 'Microsoft Power BI', 'SAS (Software)', 'Analytics', 'Investment Banking', 'Data Science', 'Python (Programming Language)']"
['Analytics Specialist'],"['Tableau', 'SQL', 'Microsoft Power BI', 'Data Visualization', 'Python (Programming Language)', 'Data Analytics', 'R (Programming Language)', 'Machine Learning', 'Data Science', 'Business Analytics']"
['Application Analyst'],"['Epic EHR', 'Application Support', 'Electronic Medical Records (EMR)', 'Healthcare Information Technology (HIT)', 'SQL', 'Information Technology', 'Software Implementation', 'Troubleshooting', 'HL7 Standards', 'Analytical Skills']"
['Application Developer'],"['C#', 'Java', '.NET Framework', 'JavaScript', 'SQL', 'React.js', 'HTML', 'Git', 'Python (Programming Language)', 'TypeScript']"
['Application Engineer'],"['Python (Programming Language)', 'Engineering', 'SOLIDWORKS', 'Computer-Aided Design (CAD)', 'Amazon Web Services (AWS)', 'Automation', 'Troubleshooting', 'AutoCAD', 'Geometric Dimensioning & Tolerancing', 'JavaScript']"
['Architect'],"['Architecture', 'Architectural Design', 'Revit', 'Amazon Web Services (AWS)', 'Architectural Drawings', 'Solution Architecture', 'Design', 'AutoCAD', 'SketchUp', 'Microsoft Azure']"
['Architectural Designer'],"['Revit', 'Residential Design', 'Architectural Design', 'AutoCAD', 'Architectural Drawings', 'SketchUp', 'Architecture', 'Rhino 3D', 'Bluebeam', 'Construction Drawings']"
['Architecture Specialist'],"['Revit', 'AutoCAD', 'Rhino 3D', 'Lumion', 'SketchUp', 'Bluebeam', 'Architectural Design', 'Architectural Drawings', 'Adobe InDesign', 'Adobe Illustrator']"
['Art Director'],"['Art Direction', 'Branding & Identity', 'Design', 'Branding', 'Creative Strategy', 'Photo Shoots', 'Logo Design', 'Typography', 'Graphic Design', 'Adobe Creative Suite']"
['Art Specialist'],"['Fine Art', 'Visual Arts', 'Art', 'Art Education', 'Adobe Creative Suite', 'Graphic Design', 'Adobe Photoshop', 'Art Direction', 'Art Therapy', 'Painting']"
['Art Teacher'],"['Art Education', 'Visual Arts', 'Fine Art', 'Painting', 'Teaching', 'Art', 'Curriculum Development', 'Studio Art', 'Classroom Management', 'Education']"
['Artist'],"['Painting', 'Fine Art', 'Digital Art', 'Art', 'Visual Arts', 'Drawing', 'Illustration', 'Acrylic Painting', 'Digital Illustration', 'Graphic Design']"
['Athlete'],"['Athletics', 'Sports', 'Time Management', 'Leadership', 'Intercollegiate Athletics', 'Communication', 'Team Leadership', 'Sports Coaching', 'Teamwork', 'Organization Skills']"
['Athletic Trainer'],"['Athletic Training', 'Sports Medicine', 'Kinesiology', 'Athletics', 'Injury Prevention', 'Injury Rehabilitation', 'Sports Injuries', 'Rehabilitation', 'Orthopedic Rehabilitation', 'Athletic Taping']"
['Attorney'],"['Litigation', 'Civil Litigation', 'Legal Writing', 'Personal Injury Law', 'Legal Research', 'Legal Advice', 'Family Law', 'Trial Practice', 'Estate Planning', 'Westlaw']"
['Audio Engineer'],"['Audio Engineering', 'Pro Tools', 'Audio Post Production', 'Audio Mixing', 'Audio Recording', 'Live Sound', 'Music Production', 'Audio Editing', 'Audio Mastering', 'Logic Pro']"
['Audio Visual Technician'],"['Audio Visual (AV) Systems', 'Live Sound', 'Audio Engineering', 'Lighting', 'Audio Visual Support', 'Crestron', 'Video Conferencing', 'Audio Mixing', 'Sound', 'Audio Visual System Design']"
['Audit'],"['Auditing', 'Accounting', 'Microsoft Excel', 'Financial Audits', 'QuickBooks', 'CaseWare Software', 'Internal Audits', 'Financial Accounting', 'Alteryx', 'ProSystem fx Engagement']"
['Audit Associate'],"['U.S. Generally Accepted Accounting Principles (GAAP)', 'Auditing', 'Alteryx', 'Accounting', 'Financial Audits', 'Generally Accepted Accounting Principles (GAAP)', 'Personal Development', 'Microsoft Power BI', 'Financial Accounting', 'Financial Reporting']"
['Auditor'],"['Auditing', 'Internal Audits', 'Accounting', 'Financial Audits', 'Generally Accepted Accounting Principles (GAAP)', 'Financial Accounting', 'Internal Controls', 'Financial Reporting', 'Financial Statements', 'Financial Analysis']"
['Automation Engineer'],"['Automation', 'Selenium', 'Test Automation', 'Selenium WebDriver', 'Cucumber', 'Jenkins', 'Java', 'Python (Programming Language)', 'TestNG', 'Programmable Logic Controller (PLC)']"
['Automotive Technician'],"['Automotive Repair', 'Brake', 'Suspension', 'Automotive', 'ASE Certified', 'Vehicle Maintenance', 'Automotive Electronics', 'Automotive Technology', 'Automotive Parts', 'Tires']"
['Babysitter'],"['Childcare', 'Working With Children', 'Babysitting', 'Organization Skills', 'Leadership', 'Communication', 'Time Management', 'Customer Service', 'Problem Solving', 'Cardiopulmonary Resuscitation (CPR)']"
['Baker'],"['Baking', 'Bakery', 'Pastry', 'Bread', 'Food & Beverage', 'Cake Decorating', 'Food Safety', 'Food Preparation', 'Culinary Skills', 'Customer Service']"
['Bank Teller'],"['Teller Operations', 'Cash Handling', 'Banking', 'Customer Service', 'Client Relations', 'Multitasking', 'Retail Banking', 'Customer Satisfaction', 'Spanish', 'Cashiering']"
['Banker'],"['Banking', 'Retail Banking', 'Cash Handling', 'Personal Banking', 'Financial Services', 'Branch Banking', 'Customer Service', 'Sales', 'Customer Relationship Management (CRM)', 'Teller Operations']"
['Bar Manager'],"['Bartending', 'Restaurant Management', 'Food & Beverage', 'Cocktails', 'Sales', 'Hospitality Management', 'Bar', 'Inventory Management', 'Hospitality', 'Customer Service']"
['Barista'],"['Barista', 'Customer Service', 'Barista Training', 'Food & Beverage', 'Time Management', 'Communication', 'Organization Skills', 'Cash Handling', 'Multitasking', 'Specialty Coffee']"
['Bartender'],"['Bartending', 'Cocktails', 'Sales', 'Food & Beverage', 'Customer Service', 'Hospitality', 'Bar', 'Time Management', 'Multitasking', 'Communication']"
['Basketball Coach'],"['Basketball Coaching', 'Sports Coaching', 'Basketball', 'Sports', 'Athletics', 'Sports Management', 'Coaching', 'Teaching', 'Player Development', 'Leadership']"
