Job Title,Skills,skill_entities,job_entities,relationships
Academic Advisor,"Academic Advising, Higher Education, Student Development, Student Engagement, Teaching, Student Affairs, Career Counseling, Student Counseling, Higher Education Administration, Campus","[('Academic Advising, Higher Education, Student Development, Student Engagement, Teaching, Student Affairs, Career Counseling, Student Counseling, Higher Education Administration, Campus', 'SKILL')]","[('Academic Advisor', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Academic Advisor', 'to_type': 'SKILL', 'to_id': 'Academic Advising, Higher Education, Student Development, Student Engagement, Teaching, Student Affairs, Career Counseling, Student Counseling, Higher Education Administration, Campus', 'type': 'REQUIRES'}]"
Academic Tutor,"Tutoring, Teaching, Peer Tutoring, Mathematics, Online Tutoring, Research, Python (Programming Language), Communication, Leadership, Writing","[('Tutoring, Teaching, Peer Tutoring, Mathematics, Online Tutoring, Research, Python (Programming Language), Communication, Leadership, Writing', 'SKILL')]","[('Academic Tutor', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Academic Tutor', 'to_type': 'SKILL', 'to_id': 'Tutoring, Teaching, Peer Tutoring, Mathematics, Online Tutoring, Research, Python (Programming Language), Communication, Leadership, Writing', 'type': 'REQUIRES'}]"
Account Coordinator,"Account Management, Account Coordination, Public Relations, Digital Marketing, Customer Relationship Management (CRM), Client Relations, Data Entry, Copywriting, Marketing, Communication","[('Account Management, Account Coordination, Public Relations, Digital Marketing, Customer Relationship Management (CRM), Client Relations, Data Entry, Copywriting, Marketing, Communication', 'SKILL')]","[('Account Coordinator', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Account Coordinator', 'to_type': 'SKILL', 'to_id': 'Account Management, Account Coordination, Public Relations, Digital Marketing, Customer Relationship Management (CRM), Client Relations, Data Entry, Copywriting, Marketing, Communication', 'type': 'REQUIRES'}]"
Account Director,"Account Management, Client Services, Client Relations, Marketing Strategy, Strategy, Business Development, Strategic Partnerships, Brand Awareness, Digital Marketing, Strategic Planning","[('Account Management, Client Services, Client Relations, Marketing Strategy, Strategy, Business Development, Strategic Partnerships, Brand Awareness, Digital Marketing, Strategic Planning', 'SKILL')]","[('Account Director', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Account Director', 'to_type': 'SKILL', 'to_id': 'Account Management, Client Services, Client Relations, Marketing Strategy, Strategy, Business Development, Strategic Partnerships, Brand Awareness, Digital Marketing, Strategic Planning', 'type': 'REQUIRES'}]"
Account Executive,"Software as a Service (SaaS), Account Management, Business-to-Business (B2B), Sales, Cold Calling, Salesforce.com, Direct Sales, Sales Management, Customer Relationship Management (CRM), Business Development","[('Software as a Service (SaaS), Account Management, Business-to-Business (B2B), Sales, Cold Calling, Salesforce.com, Direct Sales, Sales Management, Customer Relationship Management (CRM), Business Development', 'SKILL')]","[('Account Executive', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Account Executive', 'to_type': 'SKILL', 'to_id': 'Software as a Service (SaaS), Account Management, Business-to-Business (B2B), Sales, Cold Calling, Salesforce.com, Direct Sales, Sales Management, Customer Relationship Management (CRM), Business Development', 'type': 'REQUIRES'}]"
Account Manager,"Account Management, Business Development, Client Relations, Sales, Customer Relationship Management (CRM), Bitcoin Mining, Cryptocurrency Trading, Business-to-Business (B2B), Foreign Exchange (FX) Trading, Sales Management","[('Account Management, Business Development, Client Relations, Sales, Customer Relationship Management (CRM), Bitcoin Mining, Cryptocurrency Trading, Business-to-Business (B2B), Foreign Exchange (FX) Trading, Sales Management', 'SKILL')]","[('Account Manager', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Account Manager', 'to_type': 'SKILL', 'to_id': 'Account Management, Business Development, Client Relations, Sales, Customer Relationship Management (CRM), Bitcoin Mining, Cryptocurrency Trading, Business-to-Business (B2B), Foreign Exchange (FX) Trading, Sales Management', 'type': 'REQUIRES'}]"
Account Representative,"Account Management, Property and Casualty Insurance, Cold Calling, Sales, Business-to-Business (B2B), Salesforce.com, Insurance, Customer Relationship Management (CRM), Sales Effectiveness, Life Insurance","[('Account Management, Property and Casualty Insurance, Cold Calling, Sales, Business-to-Business (B2B), Salesforce.com, Insurance, Customer Relationship Management (CRM), Sales Effectiveness, Life Insurance', 'SKILL')]","[('Account Representative', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Account Representative', 'to_type': 'SKILL', 'to_id': 'Account Management, Property and Casualty Insurance, Cold Calling, Sales, Business-to-Business (B2B), Salesforce.com, Insurance, Customer Relationship Management (CRM), Sales Effectiveness, Life Insurance', 'type': 'REQUIRES'}]"
Account Specialist,"Capital Equipment, Medical Devices, Account Management, Healthcare, Sales, Sales Management, Strategic Planning, Marketing, Accounting, Customer Service","[('Capital Equipment, Medical Devices, Account Management, Healthcare, Sales, Sales Management, Strategic Planning, Marketing, Accounting, Customer Service', 'SKILL')]","[('Account Specialist', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Account Specialist', 'to_type': 'SKILL', 'to_id': 'Capital Equipment, Medical Devices, Account Management, Healthcare, Sales, Sales Management, Strategic Planning, Marketing, Accounting, Customer Service', 'type': 'REQUIRES'}]"
Accountant,"Accounting, Generally Accepted Accounting Principles (GAAP), QuickBooks, Account Reconciliation, Financial Accounting, Bank Reconciliation, Accounts Payable, U.S. Generally Accepted Accounting Principles (GAAP), Accounts Receivable (AR), Financial Reporting","[('Accounting, Generally Accepted Accounting Principles (GAAP), QuickBooks, Account Reconciliation, Financial Accounting, Bank Reconciliation, Accounts Payable, U.S. Generally Accepted Accounting Principles (GAAP), Accounts Receivable (AR), Financial Reporting', 'SKILL')]","[('Accountant', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Accountant', 'to_type': 'SKILL', 'to_id': 'Accounting, Generally Accepted Accounting Principles (GAAP), QuickBooks, Account Reconciliation, Financial Accounting, Bank Reconciliation, Accounts Payable, U.S. Generally Accepted Accounting Principles (GAAP), Accounts Receivable (AR), Financial Reporting', 'type': 'REQUIRES'}]"
Accounting Assistant,"QuickBooks, Accounting, Accounts Payable, Bookkeeping, Accounts Receivable (AR), Account Reconciliation, Microsoft Excel, Data Entry, Bank Reconciliation, Accounts Payable and Receivable","[('QuickBooks, Accounting, Accounts Payable, Bookkeeping, Accounts Receivable (AR), Account Reconciliation, Microsoft Excel, Data Entry, Bank Reconciliation, Accounts Payable and Receivable', 'SKILL')]","[('Accounting Assistant', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Accounting Assistant', 'to_type': 'SKILL', 'to_id': 'QuickBooks, Accounting, Accounts Payable, Bookkeeping, Accounts Receivable (AR), Account Reconciliation, Microsoft Excel, Data Entry, Bank Reconciliation, Accounts Payable and Receivable', 'type': 'REQUIRES'}]"
Accounting Clerk,"Accounting, QuickBooks, Accounts Payable, Accounts Receivable (AR), Account Reconciliation, Bookkeeping, Data Entry, Bank Reconciliation, Accounts Payable and Receivable, Invoicing","[('Accounting, QuickBooks, Accounts Payable, Accounts Receivable (AR), Account Reconciliation, Bookkeeping, Data Entry, Bank Reconciliation, Accounts Payable and Receivable, Invoicing', 'SKILL')]","[('Accounting Clerk', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Accounting Clerk', 'to_type': 'SKILL', 'to_id': 'Accounting, QuickBooks, Accounts Payable, Accounts Receivable (AR), Account Reconciliation, Bookkeeping, Data Entry, Bank Reconciliation, Accounts Payable and Receivable, Invoicing', 'type': 'REQUIRES'}]"
Accounting Manager,"Accounting, QuickBooks, Account Reconciliation, Generally Accepted Accounting Principles (GAAP), Financial Reporting, Financial Accounting, Financial Statements, Bank Reconciliation, Accounts Payable, Accounts Receivable (AR)","[('Accounting, QuickBooks, Account Reconciliation, Generally Accepted Accounting Principles (GAAP), Financial Reporting, Financial Accounting, Financial Statements, Bank Reconciliation, Accounts Payable, Accounts Receivable (AR)', 'SKILL')]","[('Accounting Manager', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Accounting Manager', 'to_type': 'SKILL', 'to_id': 'Accounting, QuickBooks, Account Reconciliation, Generally Accepted Accounting Principles (GAAP), Financial Reporting, Financial Accounting, Financial Statements, Bank Reconciliation, Accounts Payable, Accounts Receivable (AR)', 'type': 'REQUIRES'}]"
Accounting Specialist,"Accounting, QuickBooks, Accounts Payable, Account Reconciliation, Accounts Receivable (AR), Microsoft Excel, Financial Accounting, Bookkeeping, Bank Reconciliation, Accounts Payable and Receivable","[('Accounting, QuickBooks, Accounts Payable, Account Reconciliation, Accounts Receivable (AR), Microsoft Excel, Financial Accounting, Bookkeeping, Bank Reconciliation, Accounts Payable and Receivable', 'SKILL')]","[('Accounting Specialist', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Accounting Specialist', 'to_type': 'SKILL', 'to_id': 'Accounting, QuickBooks, Accounts Payable, Account Reconciliation, Accounts Receivable (AR), Microsoft Excel, Financial Accounting, Bookkeeping, Bank Reconciliation, Accounts Payable and Receivable', 'type': 'REQUIRES'}]"
Accounts Payable Specialist,"Accounts Payable, Account Reconciliation, Accounting, Accounts Payable and Receivable, Invoicing, Purchase Orders, Accounts Receivable (AR), QuickBooks, Bank Reconciliation, Invoice Processing","[('Accounts Payable, Account Reconciliation, Accounting, Accounts Payable and Receivable, Invoicing, Purchase Orders, Accounts Receivable (AR), QuickBooks, Bank Reconciliation, Invoice Processing', 'SKILL')]","[('Accounts Payable Specialist', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Accounts Payable Specialist', 'to_type': 'SKILL', 'to_id': 'Accounts Payable, Account Reconciliation, Accounting, Accounts Payable and Receivable, Invoicing, Purchase Orders, Accounts Receivable (AR), QuickBooks, Bank Reconciliation, Invoice Processing', 'type': 'REQUIRES'}]"
Accounts Receivable Specialist,"A/R Collections, Accounts Receivable (AR), Account Reconciliation, Invoicing, Accounting, QuickBooks, Accounts Payable, Accounts Payable and Receivable, Cash Collection, Data Entry","[('A/R Collections, Accounts Receivable (AR), Account Reconciliation, Invoicing, Accounting, QuickBooks, Accounts Payable, Accounts Payable and Receivable, Cash Collection, Data Entry', 'SKILL')]","[('Accounts Receivable Specialist', 'JOB')]","[{'from_type': 'JOB', 'from_id': 'Accounts Receivable Specialist', 'to_type': 'SKILL', 'to_id': 'A/R Collections, Accounts Receivable (AR), Account Reconciliation, Invoicing, Accounting, QuickBooks, Accounts Payable, Accounts Payable and Receivable, Cash Collection, Data Entry', 'type': 'REQUIRES'}]"
