Job_Title,Skills,skill_entities,job_entities,relationships
Academic Advisor,"Academic Advising, Higher Education, Student Development, Student Engagement, Teaching, Student Affairs, Career Counseling, Student Counseling, Higher Education Administration, Campus","[('Academic Advising', 'Skill'), ('Higher Education', 'Skill'), ('Student Development', 'Skill'), ('Student Engagement', 'Skill'), ('Teaching', 'Skill'), ('Student Affairs', 'Skill'), ('Career Counseling', 'Skill'), ('Student Counseling', 'Skill'), ('Higher Education Administration', 'Skill'), ('Campus', 'Skill')]","[('Academic Advisor', 'Job')]","[{'from_type': 'Job', 'from_id': 'Academic Advisor', 'to_type': 'Skill', 'to_id': 'Academic Advising', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Academic Advisor', 'to_type': 'Skill', 'to_id': 'Higher Education', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Academic Advisor', 'to_type': 'Skill', 'to_id': 'Student Development', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Academic Advisor', 'to_type': 'Skill', 'to_id': 'Student Engagement', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Academic Advisor', 'to_type': 'Skill', 'to_id': 'Teaching', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Academic Advisor', 'to_type': 'Skill', 'to_id': 'Student Affairs', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Academic Advisor', 'to_type': 'Skill', 'to_id': 'Career Counseling', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Academic Advisor', 'to_type': 'Skill', 'to_id': 'Student Counseling', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Academic Advisor', 'to_type': 'Skill', 'to_id': 'Higher Education Administration', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Academic Advisor', 'to_type': 'Skill', 'to_id': 'Campus', 'type': 'REQUIRES'}]"
Academic Tutor,"Tutoring, Teaching, Peer Tutoring, Mathematics, Online Tutoring, Research, Python (Programming Language), Communication, Leadership, Writing","[('Tutoring', 'Skill'), ('Teaching', 'Skill'), ('Peer Tutoring', 'Skill'), ('Mathematics', 'Skill'), ('Online Tutoring', 'Skill'), ('Research', 'Skill'), ('Python (Programming Language)', 'Skill'), ('Communication', 'Skill'), ('Leadership', 'Skill'), ('Writing', 'Skill')]","[('Academic Tutor', 'Job')]","[{'from_type': 'Job', 'from_id': 'Academic Tutor', 'to_type': 'Skill', 'to_id': 'Tutoring', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Academic Tutor', 'to_type': 'Skill', 'to_id': 'Teaching', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Academic Tutor', 'to_type': 'Skill', 'to_id': 'Peer Tutoring', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Academic Tutor', 'to_type': 'Skill', 'to_id': 'Mathematics', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Academic Tutor', 'to_type': 'Skill', 'to_id': 'Online Tutoring', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Academic Tutor', 'to_type': 'Skill', 'to_id': 'Research', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Academic Tutor', 'to_type': 'Skill', 'to_id': 'Python (Programming Language)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Academic Tutor', 'to_type': 'Skill', 'to_id': 'Communication', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Academic Tutor', 'to_type': 'Skill', 'to_id': 'Leadership', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Academic Tutor', 'to_type': 'Skill', 'to_id': 'Writing', 'type': 'REQUIRES'}]"
Account Coordinator,"Account Management, Account Coordination, Public Relations, Digital Marketing, Customer Relationship Management (CRM), Client Relations, Data Entry, Copywriting, Marketing, Communication","[('Account Management', 'Skill'), ('Account Coordination', 'Skill'), ('Public Relations', 'Skill'), ('Digital Marketing', 'Skill'), ('Customer Relationship Management (CRM)', 'Skill'), ('Client Relations', 'Skill'), ('Data Entry', 'Skill'), ('Copywriting', 'Skill'), ('Marketing', 'Skill'), ('Communication', 'Skill')]","[('Account Coordinator', 'Job')]","[{'from_type': 'Job', 'from_id': 'Account Coordinator', 'to_type': 'Skill', 'to_id': 'Account Management', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Coordinator', 'to_type': 'Skill', 'to_id': 'Account Coordination', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Coordinator', 'to_type': 'Skill', 'to_id': 'Public Relations', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Coordinator', 'to_type': 'Skill', 'to_id': 'Digital Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Coordinator', 'to_type': 'Skill', 'to_id': 'Customer Relationship Management (CRM)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Coordinator', 'to_type': 'Skill', 'to_id': 'Client Relations', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Coordinator', 'to_type': 'Skill', 'to_id': 'Data Entry', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Coordinator', 'to_type': 'Skill', 'to_id': 'Copywriting', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Coordinator', 'to_type': 'Skill', 'to_id': 'Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Coordinator', 'to_type': 'Skill', 'to_id': 'Communication', 'type': 'REQUIRES'}]"
Account Director,"Account Management, Client Services, Client Relations, Marketing Strategy, Strategy, Business Development, Strategic Partnerships, Brand Awareness, Digital Marketing, Strategic Planning","[('Account Management', 'Skill'), ('Client Services', 'Skill'), ('Client Relations', 'Skill'), ('Marketing Strategy', 'Skill'), ('Strategy', 'Skill'), ('Business Development', 'Skill'), ('Strategic Partnerships', 'Skill'), ('Brand Awareness', 'Skill'), ('Digital Marketing', 'Skill'), ('Strategic Planning', 'Skill')]","[('Account Director', 'Job')]","[{'from_type': 'Job', 'from_id': 'Account Director', 'to_type': 'Skill', 'to_id': 'Account Management', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Director', 'to_type': 'Skill', 'to_id': 'Client Services', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Director', 'to_type': 'Skill', 'to_id': 'Client Relations', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Director', 'to_type': 'Skill', 'to_id': 'Marketing Strategy', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Director', 'to_type': 'Skill', 'to_id': 'Strategy', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Director', 'to_type': 'Skill', 'to_id': 'Business Development', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Director', 'to_type': 'Skill', 'to_id': 'Strategic Partnerships', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Director', 'to_type': 'Skill', 'to_id': 'Brand Awareness', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Director', 'to_type': 'Skill', 'to_id': 'Digital Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Director', 'to_type': 'Skill', 'to_id': 'Strategic Planning', 'type': 'REQUIRES'}]"
Account Executive,"Software as a Service (SaaS), Account Management, Business-to-Business (B2B), Sales, Cold Calling, Salesforce.com, Direct Sales, Sales Management, Customer Relationship Management (CRM), Business Development","[('Software as a Service (SaaS)', 'Skill'), ('Account Management', 'Skill'), ('Business-to-Business (B2B)', 'Skill'), ('Sales', 'Skill'), ('Cold Calling', 'Skill'), ('Salesforce.com', 'Skill'), ('Direct Sales', 'Skill'), ('Sales Management', 'Skill'), ('Customer Relationship Management (CRM)', 'Skill'), ('Business Development', 'Skill')]","[('Account Executive', 'Job')]","[{'from_type': 'Job', 'from_id': 'Account Executive', 'to_type': 'Skill', 'to_id': 'Software as a Service (SaaS)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Executive', 'to_type': 'Skill', 'to_id': 'Account Management', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Executive', 'to_type': 'Skill', 'to_id': 'Business-to-Business (B2B)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Executive', 'to_type': 'Skill', 'to_id': 'Sales', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Executive', 'to_type': 'Skill', 'to_id': 'Cold Calling', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Executive', 'to_type': 'Skill', 'to_id': 'Salesforce.com', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Executive', 'to_type': 'Skill', 'to_id': 'Direct Sales', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Executive', 'to_type': 'Skill', 'to_id': 'Sales Management', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Executive', 'to_type': 'Skill', 'to_id': 'Customer Relationship Management (CRM)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Executive', 'to_type': 'Skill', 'to_id': 'Business Development', 'type': 'REQUIRES'}]"
Account Manager,"Account Management, Business Development, Client Relations, Sales, Customer Relationship Management (CRM), Bitcoin Mining, Cryptocurrency Trading, Business-to-Business (B2B), Foreign Exchange (FX) Trading, Sales Management","[('Account Management', 'Skill'), ('Business Development', 'Skill'), ('Client Relations', 'Skill'), ('Sales', 'Skill'), ('Customer Relationship Management (CRM)', 'Skill'), ('Bitcoin Mining', 'Skill'), ('Cryptocurrency Trading', 'Skill'), ('Business-to-Business (B2B)', 'Skill'), ('Foreign Exchange (FX) Trading', 'Skill'), ('Sales Management', 'Skill')]","[('Account Manager', 'Job')]","[{'from_type': 'Job', 'from_id': 'Account Manager', 'to_type': 'Skill', 'to_id': 'Account Management', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Manager', 'to_type': 'Skill', 'to_id': 'Business Development', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Manager', 'to_type': 'Skill', 'to_id': 'Client Relations', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Manager', 'to_type': 'Skill', 'to_id': 'Sales', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Manager', 'to_type': 'Skill', 'to_id': 'Customer Relationship Management (CRM)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Manager', 'to_type': 'Skill', 'to_id': 'Bitcoin Mining', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Manager', 'to_type': 'Skill', 'to_id': 'Cryptocurrency Trading', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Manager', 'to_type': 'Skill', 'to_id': 'Business-to-Business (B2B)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Manager', 'to_type': 'Skill', 'to_id': 'Foreign Exchange (FX) Trading', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Manager', 'to_type': 'Skill', 'to_id': 'Sales Management', 'type': 'REQUIRES'}]"
Account Representative,"Account Management, Property and Casualty Insurance, Cold Calling, Sales, Business-to-Business (B2B), Salesforce.com, Insurance, Customer Relationship Management (CRM), Sales Effectiveness, Life Insurance","[('Account Management', 'Skill'), ('Property and Casualty Insurance', 'Skill'), ('Cold Calling', 'Skill'), ('Sales', 'Skill'), ('Business-to-Business (B2B)', 'Skill'), ('Salesforce.com', 'Skill'), ('Insurance', 'Skill'), ('Customer Relationship Management (CRM)', 'Skill'), ('Sales Effectiveness', 'Skill'), ('Life Insurance', 'Skill')]","[('Account Representative', 'Job')]","[{'from_type': 'Job', 'from_id': 'Account Representative', 'to_type': 'Skill', 'to_id': 'Account Management', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Representative', 'to_type': 'Skill', 'to_id': 'Property and Casualty Insurance', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Representative', 'to_type': 'Skill', 'to_id': 'Cold Calling', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Representative', 'to_type': 'Skill', 'to_id': 'Sales', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Representative', 'to_type': 'Skill', 'to_id': 'Business-to-Business (B2B)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Representative', 'to_type': 'Skill', 'to_id': 'Salesforce.com', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Representative', 'to_type': 'Skill', 'to_id': 'Insurance', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Representative', 'to_type': 'Skill', 'to_id': 'Customer Relationship Management (CRM)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Representative', 'to_type': 'Skill', 'to_id': 'Sales Effectiveness', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Representative', 'to_type': 'Skill', 'to_id': 'Life Insurance', 'type': 'REQUIRES'}]"
Account Specialist,"Capital Equipment, Medical Devices, Account Management, Healthcare, Sales, Sales Management, Strategic Planning, Marketing, Accounting, Customer Service","[('Capital Equipment', 'Skill'), ('Medical Devices', 'Skill'), ('Account Management', 'Skill'), ('Healthcare', 'Skill'), ('Sales', 'Skill'), ('Sales Management', 'Skill'), ('Strategic Planning', 'Skill'), ('Marketing', 'Skill'), ('Accounting', 'Skill'), ('Customer Service', 'Skill')]","[('Account Specialist', 'Job')]","[{'from_type': 'Job', 'from_id': 'Account Specialist', 'to_type': 'Skill', 'to_id': 'Capital Equipment', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Specialist', 'to_type': 'Skill', 'to_id': 'Medical Devices', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Specialist', 'to_type': 'Skill', 'to_id': 'Account Management', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Specialist', 'to_type': 'Skill', 'to_id': 'Healthcare', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Specialist', 'to_type': 'Skill', 'to_id': 'Sales', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Specialist', 'to_type': 'Skill', 'to_id': 'Sales Management', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Specialist', 'to_type': 'Skill', 'to_id': 'Strategic Planning', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Specialist', 'to_type': 'Skill', 'to_id': 'Marketing', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Specialist', 'to_type': 'Skill', 'to_id': 'Accounting', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Account Specialist', 'to_type': 'Skill', 'to_id': 'Customer Service', 'type': 'REQUIRES'}]"
Accountant,"Accounting, Generally Accepted Accounting Principles (GAAP), QuickBooks, Account Reconciliation, Financial Accounting, Bank Reconciliation, Accounts Payable, U.S. Generally Accepted Accounting Principles (GAAP), Accounts Receivable (AR), Financial Reporting","[('Accounting', 'Skill'), ('Generally Accepted Accounting Principles (GAAP)', 'Skill'), ('QuickBooks', 'Skill'), ('Account Reconciliation', 'Skill'), ('Financial Accounting', 'Skill'), ('Bank Reconciliation', 'Skill'), ('Accounts Payable', 'Skill'), ('U.S. Generally Accepted Accounting Principles (GAAP)', 'Skill'), ('Accounts Receivable (AR)', 'Skill'), ('Financial Reporting', 'Skill')]","[('Accountant', 'Job')]","[{'from_type': 'Job', 'from_id': 'Accountant', 'to_type': 'Skill', 'to_id': 'Accounting', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Accountant', 'to_type': 'Skill', 'to_id': 'Generally Accepted Accounting Principles (GAAP)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Accountant', 'to_type': 'Skill', 'to_id': 'QuickBooks', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Accountant', 'to_type': 'Skill', 'to_id': 'Account Reconciliation', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Accountant', 'to_type': 'Skill', 'to_id': 'Financial Accounting', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Accountant', 'to_type': 'Skill', 'to_id': 'Bank Reconciliation', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Accountant', 'to_type': 'Skill', 'to_id': 'Accounts Payable', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Accountant', 'to_type': 'Skill', 'to_id': 'U.S. Generally Accepted Accounting Principles (GAAP)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Accountant', 'to_type': 'Skill', 'to_id': 'Accounts Receivable (AR)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Accountant', 'to_type': 'Skill', 'to_id': 'Financial Reporting', 'type': 'REQUIRES'}]"
Accounting Assistant,"QuickBooks, Accounting, Accounts Payable, Bookkeeping, Accounts Receivable (AR), Account Reconciliation, Microsoft Excel, Data Entry, Bank Reconciliation, Accounts Payable and Receivable","[('QuickBooks', 'Skill'), ('Accounting', 'Skill'), ('Accounts Payable', 'Skill'), ('Bookkeeping', 'Skill'), ('Accounts Receivable (AR)', 'Skill'), ('Account Reconciliation', 'Skill'), ('Microsoft Excel', 'Skill'), ('Data Entry', 'Skill'), ('Bank Reconciliation', 'Skill'), ('Accounts Payable and Receivable', 'Skill')]","[('Accounting Assistant', 'Job')]","[{'from_type': 'Job', 'from_id': 'Accounting Assistant', 'to_type': 'Skill', 'to_id': 'QuickBooks', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Accounting Assistant', 'to_type': 'Skill', 'to_id': 'Accounting', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Accounting Assistant', 'to_type': 'Skill', 'to_id': 'Accounts Payable', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Accounting Assistant', 'to_type': 'Skill', 'to_id': 'Bookkeeping', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Accounting Assistant', 'to_type': 'Skill', 'to_id': 'Accounts Receivable (AR)', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Accounting Assistant', 'to_type': 'Skill', 'to_id': 'Account Reconciliation', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Accounting Assistant', 'to_type': 'Skill', 'to_id': 'Microsoft Excel', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Accounting Assistant', 'to_type': 'Skill', 'to_id': 'Data Entry', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Accounting Assistant', 'to_type': 'Skill', 'to_id': 'Bank Reconciliation', 'type': 'REQUIRES'}, {'from_type': 'Job', 'from_id': 'Accounting Assistant', 'to_type': 'Skill', 'to_id': 'Accounts Payable and Receivable', 'type': 'REQUIRES'}]"
